,,,,,,
,,,,,,
,,,,,,
"Source: USCIS, data as of October 25, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,,
Employer Tax Number (last 4 digits), Employer Name ,Total Number of Approved Petitions, Average Salary ($) ,Beneficiaries' Degree/Diploma,,
5376,SKYHOOK HOLDING INC, D ," 110,291 ",Master's, D ,
0841,ACS INTERNATIONAL RESOURCES IN, D ," 61,900 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4065,BRANDYWINE GLOBAL INVESTMENT M, D ," 110,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0034,GKN DRIVELINE NEWTON LLC, D ," 85,333 ",Master's, D ,
5519,HOWDEN NORTH AMERICA INC, D ," 104,442 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4470,MID-SUSSEX MEDICAL CENTER INC, D ," 398,333 ",Professional Degree, D ,
0378,DUNKIN BRANDS INC, D ," 123,412 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3365,W L GORE & ASSO INC, D ," 99,566 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
5784,NEOSHO MEMORIAL REGIONAL MEDIC, D ," 19,429 ",Bachelor's, D ,
0115,WASHBURN UNIVERSITY, D ," 39,913 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
5737,SYS-CON LLC, D ," 66,167 ",Bachelor's, D ,
 , ,   ,   ,High School, D ,
5191,SOLIX TECHNOLOGIES INC, D ," 95,206 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0729,KOCH BUSINESS SOLUTIONS LP, D ," 106,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6246,PRUDENT TECHNOLOGIES INC, D ," 63,633 ",Master's, D ,
2104,CIVICPLUS INC, D ," 62,669 ",Master's, D ,
5204,SCOTT COUNTY HOSPITAL INC, D ," 45,330 ",Bachelor's, D ,
6257,BLUE OCEAN CONSULTING INC, D ," 85,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6502,TRI COM TECHNICAL SERVICE LC, D ," 116,896 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0788,SEABOARD FOODS LLC, D ," 43,317 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Professional Degree, D ,
4931,AMERICAN TRAFFIC SOLUTIONS INC, D ," 111,829 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0227,COMMUNITY HEALTHCARE SYSTEM IN, D ," 46,072 ",Bachelor's, D ,
0430,SCHENCK PROCESS LLC, D ," 69,841 ",Bachelor's, D ,
5111,GOODLAND REGIONAL MED CTR, D ," 48,699 ",Bachelor's, D ,
8644,HOSP DIST 1 OF CRAWFORD CO DBA, D ," 95,360 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
7752,UNIFIED SCHOOL DISTRICT 480, D ," 44,074 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0224,COMMUNITY MEMORIAL HEALTHCARE, D ," 43,077 ",Bachelor's, D ,
3721,ST CATHERINE HOSPITAL, D ," 220,016 ",Professional Degree, D ,
4114,FCB WORLDWIDE INC DBA FCB HEAL, D ," 64,033 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
0269,METROPOLITAN UTILITIES DISTRIC, D ," 100,527 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3639,SATYA SOFT SOLUTIONS LLC, D ," 67,667 ",Master's, D ,
1042,CLOUDPOST NETWORKS INC, D ," 131,667 ",Master's, D ,
5307,MANA PARTNERS LLC, D ," 130,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2749,NUSTAR SERVICES COMPANY LLC, D ," 122,100 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0840,IOMEGA TECHNOLOGIES INC, D ," 67,167 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7627,C4 THERAPEUTICS INC, D ," 110,667 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
2515,AR CONSULTING & DEVELOPMENT IN, D ," 77,268 ",Master's, D ,
7516,TAKT INC, D ," 156,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2369,SHIELDX NETWORKS INC, D ," 145,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1980,LOCOROLL INC, D ," 103,333 ",Bachelor's, D ,
5628,IMEG CORP, D ," 87,627 ",Master's, D ,
4548,AIRSPACE SYSTEMS INC, D ," 57,248 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
2714,MIX TECH INC, D ," 145,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6465,COGNESCENT CORPORATION, D ," 146,667 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
0392,BALBIX INC, D ," 121,667 ",Master's, D ,
5877,FOXCONN OPTICAL INTERCONNECT T, D ," 93,550 ",Master's, D ,
1357,CONTRIVE SOLUTIONS INC, D ," 68,333 ",Master's, D ,
0995,MKIT SOLUTIONS INC, D ," 69,000 ",Master's, D ,
6908,CLOUD TALK INC DBA NUCLEUS LIF, D ," 100,000 ",Master's, D ,
0930,PIBAO INC, D ," 81,940 ",Master's, D ,
3750,VOLVO CAR USA LLC, D ," 116,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8005,DANTA INFOTECH LLC, D ," 103,120 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5306,TIG CONSULTING CORP, D ," 110,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7639,NIANTIC INC, D ," 135,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9801,ATOMWISE INC, D ," 140,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
0083,LMK INFOTECH, D ," 88,151 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9870,FOREST CITY EMPLOYER LLC, D ," 116,290 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9457,SCUBE INC, D ," 60,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7108,PIECES TECHNOLOGIES INC, D ," 125,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
1030,ACS IT INC, D ," 84,587 ",Master's, D ,
7625,ANAYA TECHNOLOGIES INC, D ," 99,167 ",Master's, D ,
6862,CROSSVIEW INC, D ," 103,959 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0272,AUTOTECH ENGINEERING R&D USA I, D ," 82,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
2015,ZASPAR TECHNOLOGIES LLC, D ," 70,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1714,WEEE INC, D ," 73,938 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
3672,TRAVELATOR INC, D ," 128,333 ",Master's, D ,
9036,CRYSTAL SMILES PLLC, D ," 125,952 ",Professional Degree, D ,
6998,MEIXIN GROUP INC, D ," 42,365 ",Master's, D ,
1632,DREMIO CORP, D ," 120,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1855,PIR2 CONSULTING INCORPORATED, D ," 63,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3279,GRAPHWEAR TECHNOLOGIES INC, D ," 53,121 ",Master's, D ,
2751,TCR2 INC, D ," 83,333 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
3229,NUMERO SOLUTIONS INC, D ," 62,500 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5621,HELIX EMPLOYMENT LLC, D ," 126,667 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
0990,GTKONNECT INC, D ," 83,200 ",Bachelor's, D ,
0393,SAPTALIS PHARMACEUTICALS LLC, D ," 65,000 ",Master's, D ,
3040,SAIC INNOVATION CENTER LLC, D ," 118,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2169,ONE CONCERN INC, D ," 113,333 ",Master's, D ,
7380,ROKID INC, D ," 116,667 ",Master's, D ,
2296,REVERE LIFE SCIENCES LLC, D ," 87,866 ",Master's, D ,
2853,MUSICAL LY INC, D ," 115,833 ",Master's, D ,
3981,LATTICE DATA INC, D ," 130,000 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
7028,UHANA INC, D ," 95,333 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
2545,SUNGEN PHARMA LLC, D ," 77,333 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
1806,YOTABYTES INC, D ," 68,134 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5243,PENNSYLVANIA DENTAL GROUP, D ," 150,000 ",Professional Degree, D ,
 , ,   ,   ,Doctorate, D ,
2949,CARNEGIE PHARMACEUTICALS LLC, D ," 50,800 ",Master's, D ,
3385,ALBANESE SOLUTIONS LLC, D ," 112,000 ",Master's, D ,
8041,FAMILIA DENTAL MKEMIDTOWN LLC, D ," 156,000 ",Professional Degree, D ,
7702,YBRANT TECHNOLOGIES LLC, D ," 67,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7505,MENUSIFU INC, D ," 56,649 ",Master's, D ,
8790,DIGIBLITZ ENTERPRISE SOLUTIONS, D ," 101,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4641,YEWNO INC, D ," 126,667 ",Master's, D ,
8628,COLUMN INFORMATION SECURITY LL, D ," 97,930 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8441,HYPEVR, D ," 91,583 ",Master's, D ,
3017,TEKIVY INC, D ," 73,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1419,SKL SOLUTIONS INC, D ," 68,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4855,OPTIMUM DBA INC, D ," 60,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9294,DELTIX INC, D ," 64,000 ",Master's, D ,
9181,BHUVI IT SOLUTIONS INC, D ," 70,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9503,ONRULE INC, D ," 114,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8764,LUPTTHA TECHNOLOGIES LLC, D ," 80,000 ",Master's, D ,
2940,FIREFLY PROS INC, D ," 54,511 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5985,SPIN ANALYTICS & STRATEGY LLC, D ," 118,151 ",Bachelor's, D ,
4474,GOOD METHODS GLOBAL INC, D ," 73,667 ",Bachelor's, D ,
3445,CAMBRIDGE TECHNOLOGY INC, D ," 82,347 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6331,TRUCROWD TEXAS INC, D ," 44,415 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Some College Credits, D ,
8464,TECH RAKERS INC, D ," 93,453 ",Master's, D ,
4478,GALLEGA SYSTEMS INC, D ," 53,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4006,LIGHTHOUSE AI INC, D ," 130,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
5413,SOLARIS PHARMA CORPORATION, D ," 56,046 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
0620,ZENITH REHABILITATION SVCS INC, D ," 78,300 ",Master's, D ,
4450,MOVILITAS CONSULTING LLC, D ," 94,000 ",Bachelor's, D ,
2474,REGENERON HEALTHCARE SOLUTIONS, D ," 97,667 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
5209,VERITHIUM INC, D ," 83,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5651,RGA ENTERPRISE SVCS CO, D ," 85,546 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5071,UDATA ANALYSTS INC, D ," 63,028 ",Bachelor's, D ,
3898,HILLSOFT BUSINESS SOLUTIONS LL, D ," 81,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2955,EDUCATION MANAGEMENT SOLUTIONS, D ," 85,061 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2923,WHR ARCHITECTS INC, D ," 69,933 ",Master's, D ,
2060,101 THERAPY STAFFING INC, D ," 60,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8646,TECH CLUB INC, D ," 78,805 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0517,S9 TECHNOLOGIES INC, D ," 60,775 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6603,XENOBIOTIC LABORATORIES INC A, D ," 55,355 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
0691,GREEN FIBER COMPANY, D ," 48,597 ",Bachelor's, D ,
7358,DTEX SYSTEMS INC, D ," 130,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
 , ,   ,   ,Some College Credits, D ,
6124,SMILESFOREVER LLC, D ," 190,000 ",Professional Degree, D ,
3048,AEGLE CARE INC DBA LUMIRADX IN, D ," 112,833 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9306,KOMPRISE INC, D ," 138,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
3108,INFINISOURCE NORTH AMERICA LLC, D ," 77,730 ",Bachelor's, D ,
9663,RELYANT GLOBAL LLC, D ," 62,646 ",Bachelor's, D ,
6950,SOOTHSAYER ANALYTICS LLC, D ," 60,000 ",Bachelor's, D ,
0731,VATIC LABS OPERATIONS LLC, D ," 171,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9130,NEXTVR INC, D ," 104,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5773,FETCH ROBOTICS INC, D ," 105,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7738,ENVISION INFOSOLUTIONS INC, D ," 71,000 ",Master's, D ,
1321,VEEDER ROOT FUELQUEST LLC, D ," 111,359 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5985,COREMATIQ INC, D ," 56,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2325,INTEPLAST MANAGEMENT SERVICES, D ," 60,479 ",Master's, D ,
2180,BIDDING UNLIMITED INC, D ," 60,660 ",Master's, D ,
2966,CONGLOMERATEIT LLC, D ," 57,658 ",Master's, D ,
1141,TALENT EDGE INC, D ," 67,333 ",Master's, D ,
3989,DATA EXPERTS LLC, D ," 91,892 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9116,AUREX LABORATORIES LLC, D ," 46,064 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
7902,TECHNO ROCKET SYSTEMS, D ," 71,638 ",Master's, D ,
2182,JVR TECH LLC, D ," 73,000 ",Master's, D ,
6501,TECHNOVERT SOLUTIONS INC, D ," 91,333 ",Bachelor's, D ,
0816,DOOSAN FUEL CELL AMERICA INC, D ," 92,667 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
1040,SRIMATRIX INC, D ," 77,573 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8317,ZILKER TECHNOLOGY LLC, D ," 113,003 ",Master's, D ,
6548,ACCOUNTING FULFILLMENT SVCS LL, D ," 55,790 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2927,AVID DESIGN INC, D ," 70,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2372,MITAJA CORPORATION, D ," 69,413 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2743,SHIPT INC, D ," 105,667 ",Master's, D ,
0439,128 TECHNOLOGY INC, D ," 122,000 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
2690,SIFY TECHNOLOGIES N AMERICA CO, D ," 85,102 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1044,TP LINK RESEARCH AMERICA CORP, D ," 122,698 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6725,BAYWA R E SOLAR PROJECTS LLC, D ," 89,750 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8158,ZPMC NORTH AMERICA INC, D ," 36,863 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1412,COEX PARTNERS INC, D ," 100,000 ",Master's, D ,
7480,SPEARMC MANAGEMENT CONSULTING, D ," 140,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1485,THE TILE SHOP LLC, D ," 84,118 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7164,ALEGENT CREIGHTON HEALTH, D ," 47,585 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7317,MORRILL COUNTY COMMUNITY HOSPI, D ," 114,197 ",Bachelor's, D ,
 , ,   ,   ,Professional Degree, D ,
7101,LI COR INC, D ," 61,163 ",Master's, D ,
6012,FARM CREDIT SERVICES OF AM FLC, D ," 99,067 ",Bachelor's, D ,
5726,CYPRESS CREEK RENEWABLES LLC, D ," 113,381 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1087,INNOVATIVE CONSULTING INC, D ," 78,378 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7073,KIDNEY CARE CTR OLYMPIA FIELDS, D ," 180,000 ",Professional Degree, D ,
4326,KIM & JANG CPAS LLC, D ," 21,686 ",Master's, D ,
3196,UNICAREER LLC, D ," 60,187 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1315,SPJ SOLUTIONS INC, D ," 102,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3748,BASTILLE NETWORKS INC, D ," 141,667 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
4300,I CUBED HOLDING INC, D ," 85,167 ",Master's, D ,
7876,HBSS CONNECT CORP, D ," 67,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7097,SLRI SOLUTIONS LLC, D ," 78,061 ",Master's, D ,
4349,APSTRA INC, D ," 135,000 ",Master's, D ,
3914,LAKEWOOD FAMILY DENTAL INC, D ," 180,232 ",Professional Degree, D ,
2093,JUVO MOBILE INC, D ," 130,000 ",Bachelor's, D ,
2007,SNYDER SMILES PC, D ," 144,000 ",Professional Degree, D ,
 , ,   ,   ,Bachelor's, D ,
5200,ARCHWAY HEALTH ADVISORS LLC, D ," 75,700 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5936,FRONTLINE TECHNOLOGIES GROUP L, D ," 86,292 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8425,GA DENTISTRY SERVICES PC, D ," 155,133 ",Professional Degree, D ,
4423,MAKEURCAREER LLC, D ," 68,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2778,DATASCIENCE INC, D ," 76,029 ",Master's, D ,
0657,DMG INVESTMENTS LLC, D ," 81,221 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
3502,JUICERO INC, D ," 118,333 ",Master's, D ,
7430,EMULATE INC, D ," 61,086 ",Master's, D ,
0597,OAKS-SOFTWARE LABS LLC, D ," 79,922 ",Bachelor's, D ,
4601,GP TECHNOLOGIES LLC, D ," 64,167 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6839,ENGRADE LLC, D ," 71,397 ",Master's, D ,
0208,RURAL PHYSICIANS GROUP PANNU P, D ," 80,903 ",Professional Degree, D ,
4348,RAAD PRODUCTIONS LLC, D ," 43,867 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
8262,CLOUD9 TECHNOLOGIES LLC, D ," 106,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6328,VIBRANT AMERICA LLC, D ," 39,117 ",Master's, D ,
7087,TECHBOW LLC, D ," 62,469 ",Master's, D ,
8257,FLYSOFT INC, D ," 68,077 ",Master's, D ,
0603,ONERA INC, D ," 136,667 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
4805,NEXTCAPITAL GROUP INC, D ," 99,167 ",Master's, D ,
4292,CSC GENERATION INC, D ," 92,000 ",Master's, D ,
9264,CLOUDIO INC, D ," 103,333 ",Bachelor's, D ,
7123,VIPSHOP US INC, D ," 143,600 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
5102,AMERICAN INFOTECH SOLUTIONS IN, D ," 65,333 ",Master's, D ,
4583,ETEAM SOLUTIONS INC, D ," 66,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9386,NY RESOURCE CO INC, D ," 63,104 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9779,COGENSIA LLC, D ," 71,817 ",Master's, D ,
8733,YOU TECHNOLOGY LLC, D ," 137,105 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
1264,COMPASS INC, D ," 71,333 ",Master's, D ,
8551,QUANTIPHI INC, D ," 99,167 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7594,VIRTUOUSPROS INC, D ," 61,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6362,GREAT LAKES PHYSICIAN PRACTICE, D ," 226,667 ",Professional Degree, D ,
6154,H MART LOS ANGELES LLC, D ," 287,467 ",Bachelor's, D ,
5910,GATI TECH INC, D ," 61,500 ",Master's, D ,
7528,EDITAS MEDICINE INC, D ," 84,477 ",Master's, D ,
5706,MEDINNOVA USA INC, D ," 17,088 ",Master's, D ,
6359,GESOO INC, D ," 48,657 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7650,GRIFOLS DIAGNOSTIC SOLUTIONS I, D ," 89,285 ",Master's, D ,
0258,CHIHUO INC, D ," 42,867 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4466,IBEAM TECHNOLOGIES INC, D ," 87,831 ",Master's, D ,
1093,VJ TECHNOSOFT INC, D ," 85,716 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5902,UPSTATE PHYSICIAN SERVICES PC, D ," 57,200 ",Professional Degree, D ,
1164,CSE ICON INC, D ," 88,886 ",Master's, D ,
5221,NEXTRACKER INC, D ," 108,333 ",Master's, D ,
7137,PLATFORM9 SYSTEMS INC, D ," 138,417 ",Master's, D ,
1689,TRANSUNION RISK AND ALTERNATIV, D ," 72,537 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
8737,PATIENTPING INC, D ," 90,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4056,SYNERGY REHABILITATION INC, D ," 74,667 ",Master's, D ,
3021,OPENMAIL LLC, D ," 106,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6259,LIGHT LABS INC FKA THE LIGHTCO, D ," 138,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
2011,DECISION MINDS INC, D ," 73,333 ",Bachelor's, D ,
6980,SUNEDISON SEMICONDUCTOR LLC, D ," 93,956 ",Doctorate, D ,
 , ,   ,   ,Bachelor's, D ,
2861,LUMINATE WIRELESS INC, D ," 129,667 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7853,AURORA SOLAR INC, D ," 112,833 ",Master's, D ,
0495,ITORIZON INC, D ," 94,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9494,ORCHARD APP INC, D ," 125,333 ",Master's, D ,
3075,DANTA TECHNOLOGIES INC, D ," 75,840 ",Master's, D ,
1245,THERAVANCE BIOPHARMA U S INC, D ," 125,417 ",Master's, D ,
 , ,   ,   ,Doctorate, D ,
4676,CIRCLE INTERNET FINANCIAL INC, D ," 117,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7454,COGNITIVE SCALE INC, D ," 125,200 ",Doctorate, D ,
 , ,   ,   ,Master's, D ,
6864,ERISONIC INNOVATION TECH LLC, D ," 67,600 ",Master's, D ,
2585,SONUS SOFTWARE SOLUTIONS INC, D ," 70,333 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5768,FORWARD NETWORKS INC, D ," 142,667 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
4881,VENUENEXT INC, D ," 152,333 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4900,ELITE WORKFORCE INC, D ," 61,000 ",Bachelor's, D ,
1906,HUMAN LONGEVITY INC, D ," 99,600 ",Master's, D ,
5825,THUMBPRINT PRESS LLC DBA FORT, D ," 23,920 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
5189,REMIND101 INC DBA REMIND, D ," 180,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
9207,PHOENIX TECHNICAL SOLUTIONS LL, D ," 65,569 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6349,SURVIOS INC, D ," 75,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
7515,ANTUIT INC, D ," 95,000 ",Master's, D ,
1277,XCELLFORCE LLC, D ," 66,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
7593,KENSHO TECHNOLOGIES INC, D ," 130,000 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
 , ,   ,   ,Master's, D ,
1391,SAN DATA SYSTEMS INC, D ," 84,127 ",Doctorate, D ,
 , ,   ,   ,Bachelor's, D ,
1128,P3 GEEKS INC, D ," 69,167 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
2227,STRATEGIC SOURCING EXCELLENCE, D ," 136,667 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
1915,EARTH USA SERVICES INC, D ," 61,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4120,IMPERIAL GROUP MANUFACTURING, D ," 65,500 ",Master's, D ,
9193,ROBIN SYSTEMS INC, D ," 178,333 ",Master's, D ,
9952,ORBITPEOPLE LLC, D ," 70,298 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
0502,INTCO MEDICAL INDUSTRIES INC, D ," 49,143 ",Master's, D ,
9175,SIGMA CUBED INC, D ," 131,900 ",Bachelor's, D ,
 , ,   ,   ,Doctorate, D ,
0222,BEEPI INC, D ," 129,953 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6681,VEENA CORP D/B/A OMEGA HIRES, D ," 108,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
6667,SSATECH INC, D ," 90,000 ",Bachelor's, D ,
 , ,   ,   ,Master's, D ,
4081,ALPHACREST CAPITAL MANAGEMENT, D ," 136,667 ",Doctorate, D ,
2956,SOMNIO GLOBAL LLC, D ," 63,486 ",Master's, D ,
5519,PRIAMBA SOFT LLC, D ," 59,191 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
4259,MINDSOR LLC, D ," 62,989 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
9990,PANTON INCORPORATED, D ," 96,667 ",Master's, D ,
7753,INDEPENDENT HOSPITALIST PHYSIC, D ," 202,667 ",Professional Degree, D ,
7694,BUZZCLAN LLC, D ," 87,725 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
6126,APPTIMIZE INC, D ," 120,000 ",Master's, D ,
 , ,   ,   ,Bachelor's, D ,
5329,BFFT OF AMERICA, D ," 104,333 ",Master's, D ,
 , ,   ,   ,High School, D ,
