Blu-Ray/DVD Combo_rp,Blu-Ray/DVD Combo_sp,Blu-Ray_rp,Blu-Ray_sp,DVD_rp,DVD_sp,Essential Art House DVD_rp,Essential Art House DVD_sp,Janus Films DVD_rp,Janus Films DVD_sp,aspect_ratio,color,description,dir_link,duration,lang,title,year
,,,,$29.95,Out Of Print,,,,,1.33:1,Black & White,"A mysterious writer of poison-pen letters, known only as Le Corbeau (the Raven), plagues a French provincial town, unwittingly exposing the collective suspicion and rancor seething beneath the community’s calm surface. Made during the Nazi Occupation of France, Henri-Georges Clouzot’s Le Corbeau was attacked by the right-wing Vichy regime, the left-wing Resistance press, the Catholic Church, and was banned after the Liberation. But some—including Jean Cocteau and Jean-Paul Sartre—recognized the powerful subtext to Clouzot’s anti-informant, anti-Gestapo fable, and worked to rehabilitate Clouzot’s directorial reputation after the war. Le Corbeau brilliantly captures a spirit of paranoid pettiness and self-loathing turning an occupied French town into a twentieth-century Salem.",/shop/browse?director=clouzot-henri-georges,91 minutes,French,Le Corbeau,1955
,,,,,,,,,,1.33:1,Black & White,"In 1840s London, Dr. Thomas Bolton (Boris Karloff) dares to dream the unthinkable: to operate on patients without causing pain. Unfortunately, the road to general anesthesia is blocked by a ruthless killer (Christopher Lee), as well as Bolton’s devastating addiction to his own chemical experiments.",/shop/browse?director=day-robert,87 minutes,English,Corridors of Blood,1955
,,,,,,,,,,1.37:1,Black & White,"Ingrid Bergman’s first speaking role was in this hugely charming knockabout comedy, filmed on location in the Monk’s Bridge district of Stockholm. Bergman plays an amiable young chambermaid being wooed by a handsome stranger, who may or may not be a jewel thief. Enlivened by cheeky humor and a cast of neighborhood eccentrics, The Count of the Old Town offered Bergman a chance to show off her all-too-rarely displayed comedy skills.",/shop/browse?director=wallen-sigurd,82 minutes,Swedish,The Count of the Old Town,1955
,,,,$29.95,$23.96,,,,,1.66:1,Black & White,"Latvia, 1919: the end of the Russian Civil War. An aristocratic young woman (brilliantly played by Margarethe von Trotta) becomes involved with a sexually repressed Prussian soldier. When she is rejected by her love, the young woman is sent into a downward spiral of psychosexual depression, promiscuity, and revolutionary collaboration. A startling tale of heartbreak and violence set against the backdrop of bloody revolution, Volker Schlöndorff's Coup de grâce is a powerful film that explores the interrelation of private passion and political commitment.",/shop/browse?director=schloendorff-volker,98 minutes,"French,                                          German",Coup de grâce,1955
,,,,$29.95,Out Of Print,,,,,1.66:1,Color,"An inspired rendering of Jim Thompson’s pulp novel Pop. 1280, Bertrand Tavernier’s Coup de torchon (Clean Slate) deftly transplants the story of an inept police chief turned heartless killer and his scrappy mistress from the American South to French West Africa. Featuring pitch-perfect performances by Philippe Noiret and Isabelle Huppert, this striking neonoir straddles the line between violence and lyricism with dark humor and visual elegance.",/shop/browse?director=tavernier-bertrand,128 minutes,French,Coup de torchon,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"In Les cousins, Claude Chabrol crafts a sly moral fable about a provincial boy who comes to live with his sophisticated bohemian cousin in Paris. Through these seeming opposites, Chabrol conjures a darkly comic character study that questions notions of good and evil, love and jealousy, and success in the modern world. A mirror image of Le beau Serge, Chabrol’s debut, Les cousins recasts that film’s stars, Jean-Claude Brialy and Gérard Blain, in startlingly reversed roles. This dagger-sharp drama won the Golden Bear at the Berlin Film Festival and was an important early entry in the French New Wave.",/shop/browse?director=chabrol-claude,109 minutes,French,Les cousins,1955
,,,,$29.95,$23.96,,,,,1.33:1,Black & White,"Veronica and Boris are blissfully in love, until the eruption of World War II tears them apart. Boris is sent to the front lines…and then communication stops. Meanwhile, Veronica tries to ward off spiritual numbness while Boris's draft-dodging cousin makes increasingly forceful overtures. Winner of the Palme d'Or at the 1958 Cannes Film Festival, The Cranes Are Flying is a superbly crafted drama, bolstered by stunning cinematography and impassioned performances.",/shop/browse?director=kalatozov-mikhail,95 minutes,Russian,The Cranes Are Flying,1955
,,,,$29.95,$23.96,,,,,1.33:1,Black & White,"Two brothers compete for the amorous favors of a young woman during a seaside summer of gambling, boating, and drinking, in this seminal Sun Tribe (taiyozoku) film from director Kô Nakahira. Adapted from the controversial novel by Shintarô Ishihara, and critically savaged for its lurid portrayal of the postwar sexual revolution among Japan’s young and privileged, Crazed Fruit is an anarchic outcry against tradition and the older generation.",/shop/browse?director=nakahira-ko,86 minutes,Japanese,Crazed Fruit,1955
,,,,$39.95,$31.96,,,,,1.66:1,Color,"Carlos Saura's exquisite Cría cuervos . . . heralded a turning point in Spain: shot while General Franco was on his deathbed, the film melds the personal and the political in a portrait of the legacy of fascism and its effects on a middle-class family (the title derives from the Spanish proverb: “Raise ravens and they’ll peck out your eyes”). Ana Torrent (the dark-eyed beauty from The Spirit of the Beehive) portrays the disturbed eight-year-old Ana, living in Madrid with her two sisters and mourning the death of her mother, whom she conjures as a ghost (an ethereal Geraldine Chaplin). Seamlessly shifting between fantasy and reality, the film subtly evokes both the complex feelings of childhood and the struggles of a nation emerging from the shadows.",/shop/browse?director=saura-carlos,109 minutes,Spanish,Cría cuervos . . . ,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Color,"This existential wail of a drama concerns two sisters, Karin (Ingrid Thulin) and Maria (Liv Ullmann), keeping vigil for a third, Agnes (Harriet Andersson), who is dying of cancer and can find solace only in the arms of a beatific servant (Kari Sylwan). An intensely felt film that is one of Bergman’s most striking formal experiments, Cries and Whispers (which won an Oscar for the extraordinary color photography by Sven Nykvist) is a powerful depiction of human behavior in the face of death, positioned on the borders between reality and nightmare, tranquility and terror.",/shop/browse?director=bergman-ingmar,91 minutes,Swedish,Cries and Whispers,1955
,,,,,,,,,,1.33:1,Black & White,"With his very first film as a director, made under the mentorship of the silent-film maestro Victor Sjöström, Ingmar Bergman began exploring a couple of the essential themes of his early period: youth pitted against crass society and the tensions between men and women. The eighteen-year-old Nelly (Inga Landgré), who lives with her foster mother in a quiet provincial town, is shaken by the sudden arrival of her birth mother (Marianne Löfgren), who eventually takes her to Stockholm—where Nelly receives a crash course in corruption and wrenching heartbreak. Crisis proved that Bergman had an incipient gift for developing characters and evoking atmosphere on-screen.",/shop/browse?director=bergman-ingmar,93 minutes,Swedish,Crisis,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.78:1,Color,"Guillermo del Toro made an auspicious and audacious feature debut with Cronos, a highly unorthodox tale about the seductiveness of the idea of immortality. Kindly antiques dealer Jesús Gris (Federico Luppi) happens upon an ancient golden device in the shape of a scarab, and soon finds himself the possessor and victim of its sinister, addictive powers, as well as the target of a mysterious American named Angel (a delightfully crude and deranged Ron Perlman). Featuring marvelous special makeup effects and the haunting imagery for which del Toro has become world-renowned, Cronos is a dark, visually rich, and emotionally captivating fantasy.",/shop/browse?director=del-toro-guillermo,92 minutes,Spanish,Cronos,1955
,,,,,,,,,,2.45:1,Black & White,"Fresh out of the slammer, Togawa (Branded to Kill’s rough-and-ready Joe Shishido) has no chance to go straight because he is immediately coerced by a wealthy mob boss into organizing a heist on an armored car carrying racetrack receipts. After assembling a ragtag bunch to carry out the robbery, Togawa learns that all is not what it seems in Takumi Furukawa’s thriller. Cue the double (and triple) crosses!",/shop/browse?director=furukawa-takumi,91 minutes,Japanese,Cruel Gun Story,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Color,"Terry Zwigoff’s landmark 1995 film is an intimate documentary portrait of the underground artist Robert Crumb, whose unique drawing style and sexually and racially provocative subject matter have made him a household name in popular American art. Zwigoff candidly and colorfully delves into the details of Crumb’s incredible career and life, including his family of reclusive eccentrics, some of the most remarkable people you’ll ever see on-screen. At once a profound biographical portrait, a riotous examination of a man’s controversial art, and a devastating look at a troubled family, Crumb is a genuine American original.",/shop/browse?director=zwigoff-terry,120 minutes,English,Crumb,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Black & White,"Roman Polanski orchestrates a mental ménage à trois in this slyly absurd tale of paranoia from the director’s golden 1960s period. Donald Pleasence and Françoise Dorléac star as a withdrawn couple whose isolated house is invaded by a rude, burly American gangster on the run, played by Lionel Stander. The three engage in role-playing games of sexual and emotional humiliation. Cul-de-sac is an evocative, claustrophobic, and morbidly funny tale of the modern world in chaos.",/shop/browse?director=polanski-roman,112 minutes,English,Cul-de-sac,1955
,,$39.99,Currently Unavailable,$39.99,Currently Unavailable,,,,,2.40:1,Color,"“I was born under unusual circumstances . . .” Thus begins The Curious Case of Benjamin Button, the Academy Award–winning film starring Brad Pitt as a man who is born in his eighties and ages backward, and Cate Blanchett as the woman he is destined to love forever. The Curious Case of Benjamin Button is a monumental journey—as unusual as it is epic—that follows Benjamin’s remarkable adventure of romance and redemption from the end of World War I through the twenty-first century. Directed by David Fincher, The Curious Case of Benjamin Button is a powerful testament to life and death, love and loss.",/shop/browse?director=fincher-david,165 minutes,English,The Curious Case of Benjamin Button,1955
,,,,,,,,,,1.33:1,Color,"Maybe the New Wave’s most anarchic entry, Věra Chytilová’s absurdist farce follows the misadventures of two brash young women. Believing the world to be “spoiled,” they embark on a series of pranks in which nothing—food, clothes, men, war—is taken seriously. Daisies is an aesthetically and politically adventurous film that’s widely considered one of the great works of feminist cinema.",/shop/browse?director=chytilova-vera,76 minutes,Czech,Daisies,1955
,,,,$29.95,$23.96,,,,,1.33:1,Black & White,"This unique love story, based on a novelette by Denis Diderot and with dialogue written by Jean Cocteau, follows the maneuverings of a society lady as she connives to initiate a scandalous affair between her aristocratic ex-lover and a prostitute. With his second feature film, director Robert Bresson was already forging his singularly brilliant filmmaking technique as he created a moving study of the power of revenge and the strength of true love.",/shop/browse?director=bresson-robert,84 minutes,French,Les dames du Bois de Boulogne,1955
,,,,$39.95,$31.96,,,,,1.66:1,Color,"Gérard Depardieu and Wojciech Pszoniak star in Andrzej Wajda’s powerful, intimate depiction of the ideological clash between the earthy, man-of-the-people Georges Danton and icy Jacobin extremist Maximilien Robespierre, both key figures of the French Revolution. By drawing parallels to Polish “solidarity,” a movement that was being quashed by the government as the film went into production, Wajda drags history into the present. Meticulous and fiery, Danton has been hailed as one of the greatest films ever made about the Terror.",/shop/browse?director=wajda-andrzej,136 minutes,French,Danton,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.40:1,Color,"In director Wes Anderson's The Darjeeling Limited, three estranged American brothers reunite for a meticulously planned, soul-searching train voyage across India one year after the death of their father. Armed with eleven suitcases, a laminated itinerary, a can of pepper spray, a supply of over-the-counter painkillers, and a host of family conflicts ready to erupt, Francis, Peter, and Jack eventually find themselves stranded alone in the middle of the desert—at which point an unexpected new chapter in their journey begins. Featuring a sensational cast, including Owen Wilson, Adrien Brody, Jason Schwartzman, and Anjelica Huston, The Darjeeling Limited is a dazzling and hilarious film that takes Anderson’s work to deeper places than ever before.",/shop/browse?director=anderson-wes,91 minutes,English,The Darjeeling Limited,1955
,,,,,,,,,,1.19:1,Black & White,"The first sound film by Julien Duvivier also marked his first collaboration with the marvelous actor Harry Baur. Together, they brought to life the vivid protagonist of Irène Némirovsky’s best-selling first novel, an avaricious, self-interested banker whose family life is as tempestuous as his business dealings. Directed with visual panache, this grim yet arresting tale showcases Duvivier’s preternatural cinematic maturity during a transitional phase for the French film industry.",/shop/browse?director=duvivier-julien,95 minutes,French,David Golder,1955
,,$29.95,$23.96,$29.95,$23.96,,,,,1.78:1,Color,"A rare glimpse into the mind of one of cinema’s most enigmatic visionaries, David Lynch: The Art Life offers an absorbing portrait of the artist, as well as an intimate encounter with the man himself. From his secluded home and painting studio in the Hollywood Hills, a candid Lynch conjures people and places from his past, from his boyhood to his experiences at art school to the beginnings of his filmmaking career—in stories that unfold like scenes from his movies. This remarkable documentary by Jon Nguyen, Rick Barnes, and Olivia Neergaard-Holm travels back to Lynch’s early years as a painter and director drawn to the phantasmagoric, while also illuminating his enduring commitment to what he calls “the art life”: “You drink coffee, you smoke cigarettes, and you paint, and that’s it.”",/shop/browse?director=neergaard-holm-olivia,88 minutes,English,David Lynch: The Art Life,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.66:1,Color,"This affectionate farce from François Truffaut about the joys and strife of moviemaking is one of his most beloved films. Truffaut himself appears as the harried director of a frivolous melodrama, the shooting of which is plagued by the whims of a neurotic actor (Jean-Pierre Léaud), an aging but still forceful Italian diva (Valentina Cortese), and a British ingenue haunted by personal scandal (Jacqueline Bisset). An irreverent paean to the prosaic craft of cinema as well as a delightful human comedy about the pitfalls of sex and romance, Day for Night is buoyed by robust performances and a sparkling score by the legendary Georges Delerue.",/shop/browse?director=truffaut-francois,116 minutes,French,Day for Night,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Black & White,"This bittersweet film from Jean Renoir, based on a story by Guy de Maupassant, is a tenderly comic idyll about a city family’s picnic in the French countryside and the romancing of the mother and grown daughter by two local men. Conceived as a short feature, the project had nearly finished production in 1936 when Renoir was called away for The Lower Depths. Shooting was abandoned then, but the film was completed with the existing footage by Renoir’s team and released in its current form in 1946, after the director had already moved on to Hollywood. The result is a warmly humanist vignette that ranks among Renoir’s most lyrical works, with a love for nature imbuing its every beautiful frame.",/shop/browse?director=renoir-jean,41 minutes,French,A Day in the Country,1955
,,,,,,,,,,1.33:1,Black & White,"Filmed during the Nazi occupation of Denmark, Carl Dreyer’s Day of Wrath (Vredens dag) is a harrowing account of individual helplessness in the face of growing social repression and paranoia. Anna, the young second wife of a well-respected but much older pastor, falls in love with her stepson when he returns to their small seventeenth-century village. Stepping outside the bounds of the village’s harsh moral code has disastrous results. Exquisitely photographed and passionately acted, Day of Wrath remains an intense, unforgettable experience.",/shop/browse?director=dreyer-carl-th,97 minutes,Danish,Day of Wrath,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.77:1,Color,"One-of-a-kind filmmaker-philosopher Terrence Malick has created some of the most visually arresting films of the twentieth century, and his glorious period tragedy Days of Heaven, featuring Oscar-winning cinematography by Nestor Almendros, stands out among them. In 1910, a Chicago steelworker (Richard Gere) accidentally kills his supervisor, and he, his girlfriend (Brooke Adams), and his little sister (Linda Manz) flee to the Texas panhandle, where they find work harvesting wheat in the fields of a stoic farmer (Sam Shepard). A love triangle, a swarm of locusts, a hellish fire—Malick captures it all with dreamlike authenticity, creating a timeless American idyll that is also a gritty evocation of turn-of-the-century labor.",/shop/browse?director=malick-terrence,94 minutes,English,Days of Heaven,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"America, 1976. The last day of school. Bongs blaze, bell-bottoms ring, and rock and roll rocks. Among the best teen films ever made, Richard Linklater’s Dazed and Confused eavesdrops on a group of seniors-to-be and incoming freshmen. A launching pad for a number of future stars, Linklater’s first studio effort also features endlessly quotable dialogue and a blasting, stadium-ready soundtrack. Sidestepping nostalgia, Dazed and Confused is less about “the best years of our lives” than the boredom, angst, and excitement of teenagers waiting . . . for something to happen.",/shop/browse?director=linklater-richard,102 minutes,English,Dazed and Confused,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Black & White,"With Dead Man, his first period piece, Jim Jarmusch imagined the nineteenth-century American West as an existential wasteland, delivering a surreal reckoning with the ravages of industrialization, the country’s legacy of violence and prejudice, and the natural cycle of life and death. Accountant William Blake (Johnny Depp) has hardly arrived in the godforsaken outpost of Machine before he’s caught in the middle of a fatal lovers’ quarrel. Wounded and on the lam, Blake falls under the watch of the outcast Nobody (Gary Farmer), who guides his companion on a spiritual journey, teaching him to dispense poetic justice along the way. Featuring austerely beautiful black-and-white photography by Robby Müller and a live-wire score by Neil Young, Dead Man is a profound and unique revision of the western genre.",/shop/browse?director=jarmusch-jim,121 minutes,English,Dead Man,1955
,,,,$39.95,Out Of Print,,,,,1.66:1,Color,"In Dead Ringers, David Cronenberg tells the chilling story of identical twin gynecologists—suave Elliot and sensitive Beverly, bipolar sides of one personality—who share the same practice, the same apartment, the same women. When a new patient, glamorous actress Claire Niveau, challenges their eerie bond, they descend into a whirlpool of sexual confusion, drugs, and madness. Jeremy Irons' s tour-de-force performance—as both twins—raises disturbing questions about the nature of personal identity.",/shop/browse?director=cronenberg-david,115 minutes,English,Dead Ringers,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Black & White,"Genius provocateur Nagisa Oshima, an influential figure in the Japanese New Wave of the 1960s, made one of his most startling political statements with the compelling pitch-black satire Death by Hanging. In this macabre farce, a Korean man is sentenced to death in Japan but survives his execution, sending the authorities into a panic about what to do next. At once disturbing and oddly amusing, Oshima’s constantly surprising film is a subversive and surreal indictment of both capital punishment and the treatment of Korean immigrants in his country.",/shop/browse?director=oshima-nagisa,118 minutes,Japanese,Death by Hanging,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Color,"Based on the classic novella by Thomas Mann, this late-career masterpiece from Luchino Visconti is a meditation on the nature of art, the allure of beauty, and the inescapability of death. A fastidious composer reeling from a disastrous concert, Gustav von Aschenbach (Dirk Bogarde, in an exquisitely nuanced performance) travels to Venice to recover. There, he is struck by a vision of pure beauty in the form of a young boy named Tadzio (Björn Andrésen), his infatuation developing into an obsession even as rumors of a plague spread through the city. Setting Mann’s story of queer desire and bodily decay against the sublime music of Gustav Mahler, Death in Venice is one of cinema’s most exalted literary adaptations, as sensually rich as it is allegorically resonant.",/shop/browse?director=visconti-luchino,131 minutes,English,Death in Venice,1955
,,,,$29.95,$23.96,,,,,1.33:1,Black & White,"Upper-class geometry professor Juan and his wealthy, married mistress, Maria José, driving back from a late-night rendezvous, accidentally hit a cyclist, and run. The resulting, exquisitely shot tale of guilt, infidelity, and blackmail reveals the wide gap between the rich and the poor in Spain, and surveys the corrupt ethics of a society seduced by decadence. Juan Antonio Bardem's charged melodrama Death of a Cyclist (Muerte de un ciclista) was a direct attack on 1950s Spanish society under Franco’s rule. Though it was affected by the dictates of censorship, its sting could never be dulled.",/shop/browse?director=bardem-juan-antonio,87 minutes,Spanish,Death of a Cyclist,1955
,,,,,,,,,,1.85:1,Color,"Pier Paolo Pasolini weaves together a handful of Giovanni Boccaccio’s fourteenth-century moral tales in this picturesque free-for-all. The Decameron explores the delectations and dark corners of an earlier and, as the filmmaker saw it, less compromised time. Among the chief delights are a young man’s exploits with a gang of grave robbers, a flock of randy nuns who sin with a strapping gardener, and Pasolini’s appearance as a pupil of the painter Giotto, at work on a massive fresco. One of the director’s most popular films, The Decameron, trans­posed to Naples from Boccaccio’s Florence, is a cutting takedown of the pieties surrounding religion and sex.",/shop/browse?director=paolo-pasolini-pier,111 minutes,Italian,The Decameron,1955
,,$99.95,$79.96,$99.95,$79.96,,,,,1.33:1,Color,"This masterwork by Krzysztof Kieślowski is one of the twentieth century’s greatest achievements in visual storytelling. Originally made for Polish television, Dekalog focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply personal and universally human. Its ten hour-long films, drawing from the Ten Commandments for thematic inspiration and an overarching structure, grapple deftly with complex moral and existential questions concerning life, death, love, hate, truth, and the passage of time. Shot by nine different cinematographers, with stirring music by Zbigniew Preisner and compelling performances from established and unknown actors alike, Dekalog arrestingly explores the unknowable forces that shape our lives. Also presented are the longer theatrical versions of the series’ fifth and sixth films: A Short Film About Killing and A Short Film About Love.",/shop/browse?director=kieslowski-krzysztof,583 minutes,Polish,Dekalog,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"Donna Deitch’s swooning and sensual first narrative feature, Desert Hearts, was groundbreaking upon its release in 1985: a love story about two women, made entirely independently, on a shoestring budget, by a woman. In this 1959-set film, adapted from a beloved novel by Jane Rule, straitlaced East Coast professor Vivian Bell (Helen Shaver) arrives in Reno to file for divorce but winds up catching the eye of someone new, the free-spirited young Cay (Patricia Charbonneau), touching off a slow seduction that unfolds against a breathtaking desert landscape. With undeniable chemistry between its two leads, an evocative jukebox soundtrack, and vivid cinematography by Robert Elswit, Desert Hearts beautifully exudes a sense of tender yearning and emotional candor.",/shop/browse?director=deitch-donna,91 minutes,English,Desert Hearts,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"Gary Cooper, Fredric March, and Miriam Hopkins play a trio of Americans in Paris who enter into a very adult “gentleman’s agree­ment” in this continental pre-Code comedy, freely adapted by Ben Hecht from a play by Noël Coward and directed by Ernst Lubitsch. A risqué relationship story and a witty take on creative pursuits, the film concerns a commercial artist (Hopkins) unable—or unwilling—to choose between the equally dashing painter (Cooper) and playwright (March) she meets on a train en route to the City of Light. Design for Living is Lubitsch at his sexiest, an entertainment at once debonair and racy, featuring three stars at the height of their allure.",/shop/browse?director=lubitsch-ernst,91 minutes,English,Design for Living,1955
,,,,,,,,,,1.33:1,Black & White,"Sacha Guitry exchanges his usual top hat for a uniform in Désiré,  playing a cavalier valet embroiled in an awkward flirtation with his new employer (played by the actor-director’s real-life wife, Jacqueline Delubac), who is involved with a stuffy politician. A carefree class farce filled with memorable supporting characters, Désiré  blurs the distinction between upstairs and downstairs.",/shop/browse?director=guitry-sacha,97 minutes,French,Désiré,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Black & White,"From Poverty Row came a movie that, perhaps more than any other, epitomizes the dark fatalism at the heart of film noir. As he hitchhikes his way from New York to Los Angeles, a down-on-his-luck nightclub pianist (Tom Neal) finds himself with a dead body on his hands and nowhere to run—a waking nightmare that goes from bad to worse when he picks up the most vicious femme fatale in cinema history, Ann Savage’s snarling, monstrously conniving drifter Vera. Working with no-name stars on a bargain-basement budget, B auteur Edgar G. Ulmer turned threadbare production values and seedy, low-rent atmosphere into indelible pulp poetry. Long unavailable in a format in which its hard-boiled beauty could be fully appreciated, Detour haunts anew in its first major restoration.Detour was restored by the Academy Film Archive and The Film Foundation in collaboration with the Cinémathèque Royale de Belgique, The Museum of Modern Art, and the Cinémathèque Française. Restoration funding provided by the George Lucas Family Foundation.",/shop/browse?director=ulmer-edgar-g,69 minutes,English,Detour,1955
,,,,$39.95,$31.96,,,,,1.66:1,Black & White,"With his customary restraint and ruthless attention to detail, director Jean-Pierre Melville follows the parallel tracks of French underworld criminal Gu (the inimitable Lino Ventura), escaped from prison and roped into one last robbery, and the suave inspector, Blot (Paul Meurisse), relentlessly seeking him. The implosive Le deuxième souffle captures the pathos, loneliness, and excitement of a life in the shadows with methodical suspense and harrowing authenticity, and contains one of the most thrilling heist sequences Melville ever shot.",/shop/browse?director=melville-jean-pierre,144 minutes,French,Le deuxième souffle,1955
,,,,$39.95,$31.96,,,,,1.33:1,Black & White,"Jabez Stone is a hard-working farmer trying to make an honest living, but a streak of bad luck tempts him to do the unthinkable: bargain with the Devil himself. For seven years of good fortune, Stone promises “Mr. Scratch” his soul when the contract ends. When the troubled farmer begins to realize the error of his choice, he enlists the aid of the one man who might save him: the legendary orator and politician Daniel Webster. Directed with stylish flair by William Dieterle, The Devil and Daniel Webster brings the classic short story by Stephen Vincent Benét to life with inspired visuals, an unforgettable Oscar-winning score by Bernard Herrmann, and a truly diabolical performance from Walter Huston.",/shop/browse?director=dieterle-william,106 minutes,English,The Devil and Daniel Webster,1955
,,,,,,,,,,1.37:1,Black & White,"Josef von Sternberg and Marlene Dietrich went out with a bang in their final film together, The Devil Is a Woman, a surreal tale of erotic passion and danger set amid the tumult of carnival in turn-of-the-twentieth-century Spain. Through a series of flashbacks, Captain Costelar (Lionel Atwill) recounts to the young Antonio Galvan (Cesar Romero) the story of his harrowing affair with the notorious seductress Concha Perez (Dietrich), warning his listener to gird himself against her charms. Despite his counsel, Galvan falls under Concha’s spell, leading to a violent denouement. Ever the ornate visual stylist, von Sternberg evokes Spanish culture with a touch of the luridly fantastic, further elevated by Travis Banton’s opulent costume design and award-winning cinematography by von Sternberg himself.",/shop/browse?director=von-sternberg-josef,79 minutes,English,The Devil Is a Woman,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.85:1,Color,"One of the most personal films by Guillermo del Toro, The Devil’s Backbone is also among his most frightening and emotionally layered. Set during the final week of the Spanish Civil War, it tells the tale of a twelve-year-old boy who, after his freedom-fighting father is killed, is sent to a haunted rural orphanage full of terrible secrets. Del Toro expertly combines gothic ghost story, murder mystery, and historical melodrama in a stylish mélange that, like his later Pan’s Labyrinth, reminds us the scariest monsters are often the human ones.",/shop/browse?director=del-toro-guillermo,108 minutes,Spanish,The Devil’s Backbone,1955
,,,,,,,,,,1.37:1,Black & White,"The sophisticated fantasy The Devil’s Eye—the last Ingmar Bergman film to be shot by the great Gunnar Fischer—is an engaging satire of petit bourgeois morals. The devil (Stig Järrel) suffers from an inflamed eye, which he informs Don Juan (Jarl Kulle) can be cured only if a young woman’s chastity is breached. So the legendary lover ascends from hell and sets about seducing an innocent pastor’s daughter, Britt-Marie (Bibi Andersson). Bergman’s dialogue bubbles with an irony reminiscent of his beloved Molière, and the music of Domenico Scarlatti (performed by Bergman’s fourth wife, Käbi Laretei) underscores the joy that infuses much of the film.",/shop/browse?director=bergman-ingmar,87 minutes,Swedish,The Devil’s Eye,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,2.35:1,Color,"With this Palme d’Or–winning drama, which deftly combines seemingly disparate genres, French filmmaker Jacques Audiard cemented his status as a titan of contemporary world cinema. In an arresting performance, the nonprofessional actor Antonythasan Jesuthasan (himself a former child soldier) stars as a Tamil fighter who, along with a woman and a child posing as his wife and daughter, flees war-torn Sri Lanka only to land in a Paris suburb blighted by drugs. As the makeshift family embarks on a new life, Dheepan settles into an intimate social-realist mode before tightening into a dynamic turf-war thriller, as well as an unsettling study of the psychological aftereffects of combat. Searing and sensitive, Audiard’s film is a unique depiction of the refugee experience as a continuous crisis of identity.",/shop/browse?director=audiard-jacques,114 minutes,"Tamil,                                          French,                                          English",Dheepan,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.33:1,Black & White,"Before Psycho, Peeping Tom, and Repulsion, there was Diabolique. This thriller from Henri‑Georges Clouzot, which shocked audiences in Europe and the U.S., is the story of two women—the fragile wife and the willful mistress of the sadistic headmaster of a boys' boarding school—who hatch a daring revenge plot. With its unprecedented narrative twists and terrifying images, Diabolique is a heart-grabbing benchmark in horror filmmaking, featuring outstanding performances by Simone Signoret, Véra Clouzot, and Paul Meurisse.",/shop/browse?director=clouzot-henri-georges,117 minutes,French,Diabolique,1955
,,$39.95,$31.96,$39.95,$31.96,,,,,1.37:1,Black & White,"With this simultaneously harrowing and lyrical debut feature, Jan Němec established himself as the most uncompromising visionary among the radical filmmakers who made up the Czechoslovak New Wave. Adapted from a novel by Arnošt Lustig, Diamonds of the Night closely tracks two boys who escape from a concentration-camp transport and flee into the surrounding woods, hostile terrain where the brute realities of survival coexist with dreams, memories, and fragments of visual poetry. Along with visceral camera work by Jaroslav Kučera and Miroslav Ondříček—two of Czechoslovak cinema’s most influential cinematographers—Němec makes inventive use of fractured editing, elliptical storytelling, and flights of surrealism as he strips context away from this bare-bones tale, evoking the panicked delirium of consciousness lost in night and fog.",/shop/browse?director=nemec-jan,67 minutes,"Czech,                                          German",Diamonds of the Night,1955
,,,,$29.95,Out Of Print,,,,,2.35:1,Black & White,"This wicked adaptation of the Octave Mirbeau novel is classic Luis Buñuel. Jeanne Moreau is Celestine, a beautiful Parisian domestic who, upon arrival at her new job at an estate in provincial 1930s France, entrenches herself in sexual hypocrisy and scandal with her philandering employer (Buñuel regular Michel Piccoli). Filmed in luxurious black-and-white Franscope, Diary of a Chambermaid is a raw-edged tangle of fetishism and murder—and a scathing look at the burgeoning French fascism of the era.",/shop/browse?director=bunuel-luis,98 minutes,French,Diary of a Chambermaid,1955
